text,aspect,polarity,lang
"У каждого есть друг уебан. Если у тебя его нет, то стоит задуматься... возможно, уебан – это ты.",general,neutral,en
Все мегаФото на стенку здесь!:,general,neutral,en
Смоки - Дым над водой,general,neutral,en
не смешно человек после инсульта,general,neg,en
фон....соттветственно все будет без слов...,general,neutral,en
ммм 5 полуголых парней:D,general,pos,en
"Аплодирую маркетологам Рено-Ниссан. Красавцы!
3 автомобиля (Логан, Гранта и Он-до) выпускаются одними и те ми же людьми, на одном и том же заводе (АвтоВАЗ). А народ радостно обсуждает, как замена шильдиков кардинально меняет качество :))))

Приклеил сборщик дядя Вася ладью на капот - значит фуфло машина, ломаться будет. Тот же дядя Вася - но ромбик, а не ладью - значит хороший европейский автомобиль получился. Ну а если коробка с шильдиками Датсун под руку попалась, так и вовсе красота - дядя Вася сразу проникается принципами Дао и машина обретает истинное императорское качество :)))))))",general,neg,en
бакалавр)),general,pos,en
у кого есть белая/серебристая тушь???,general,neutral,en
"не знаю, зачем я это посмотрел, но первый парт - лучший куплет 2015 года, офишл.",general,pos,en
веселуха)))))),general,pos,en
"И у нас будет праздник братцы.мечты для того чтоб сбываться,улыбайся Все не напрасно:)...",general,pos,en
"Эх парни... Вы постоянно расстаётесь с любимой девушкой, ищите ей назло другую, но всегда либо у неё такое же имя, либо внешность ну или характер...вы ищите жалкую копию. а не легче просто извиниться и любить одну единственную и неповторимую?",general,neg,en
Вспомни как отдыхал 😊,general,neutral,en
"Я скучаю по тебе, кисууууля:**",general,neg,en
Половина автопарка:),general,neutral,en
"это Божественно когда лагает Мейнстрим ,я думала сойду с ума!",general,neg,en
Вот на этом скоро полетим),general,neutral,en
Х*й остался на кухне =(,general,neg,en
"Что-то есть в этой картинке,только не пойму что....:)",general,neutral,en
|А ты меня не поправляй я тебе не трусы.©|,general,neg,en
"Итак, благодаря пидарасам из министерств и ведомств нас лишили жежешечки, лирушечки и даже поисковика на майл.ру, не считая всего прочего. Опять. Экстремизм, он, знаете ли, не дремлет. Эх, где там мой FoxyProxy?..",general,neg,en
"САААШШШКААААА!!!!
Я СЕЙЧАС УМРУ ОТ ПРЕДВКУШЕНИЯ!!!!!!
ААААА!!! О БОГИ! СКОРЕЕ БЫ!!!
PS:мне было интересно кого возьмут играть Финика(он же там аполлон),так тут и правда красавчика взяли)",general,pos,en
Всегда помни обо мне,general,neutral,en
Как и обещала,general,neutral,en
Завтра в Москве на Связь-Экспокомм-2012.,general,neutral,en
ахахах))))помнишь?),general,pos,en
Ангел-хранитель,general,neutral,en
"РГАСПИ. Ф. 17. Оп. 166. Д. 585 Л. 19–20. 
Товарищ Сталин и компания подписывают дополнительные лимиты на расстрел русских людей
За две недели, с 31. 01. 1938 г. по 15. 02. 1938 г., должно быть расстреляно не менее:",general,neutral,en
- Кто с пером к нам прийдёт - от ствола и скопытиться! (Космос),general,neutral,en
Внезапный вопрос - Есть ли у кого-нибудь хорошие знакомые в Хорватии ?,general,neutral,en
Рекомендую к прочтению ;-),general,neutral,en
"сегодня год.помянем,,,,,",general,neg,en
подарок соседа на день рождения.,general,neutral,en
"В. В. Маяковский

КТО ЕСТЬ БЛЯДИ

Не те
бляди,
что хлеба
ради
спереди
и сзади
дают нам
ебcти,
Бог их прости!
А те бляди -
лгущие,
деньги
сосущие,
ебать
не дающие -
вот бляди
сущие,
мать их ети!",general,neutral,en
"не забываем, что писать лучше в личку:)
всем отвечу немного позже. выбирайте-спрашивайте!
всем солнечного дня и хорошего настроения!:)
и заходите в скидочный альбом!  
забирайте пожалуйста всё, что нравится)",general,neutral,en
Нужно поддержать друга - у него новые кеды!!  )))),general,pos,en
"Lexus GX460 с ""легким"" обвесом =) Имитация панорамной крыши и нестандартная оклейка капота в черный глянец =)",general,neutral,en
"Никто не ценит ваше внимание, все влюбляются в ваше безразличие",general,neg,en
"Забавно, что акция с бесплатными голосами закончилась ещё в 2011 году, с тех пор я успел зачеркнуть текст статьи и добавить пару надписей о том, что акция закончилась. И толку? Коментарии  убивают 😐",general,neg,en
"Деревня, тазы, норм норм)))",general,neutral,en
а не пойти бы мне пивка попить?,general,neutral,en
"женя
купи мне
свитер",general,neutral,en
Где саундтрек к Метро 2034??),general,neutral,en
Кое что из старенького),general,neutral,en
Зарегенился в твитере !,general,neutral,en
так мило:))),general,pos,en
хочу по скорее тебя увидеть,general,pos,en
"блять, и что же будет завтра?!",general,neg,en
Впервые так получилось. Красота,general,pos,en
Это был долгий вечер,general,neutral,en
продам бп за 20 кож,general,neutral,en
"Ра - си - Я! Ра - си - Я! Накатим!

Ураааааааааааааааааааааааа",general,pos,en
где Харьков сморите?,general,neutral,en
"В НАЛИЧИИ!!!!
1-2 ГОДА 
ЦЕНА 1 ШТ -80 ГРН",general,neutral,en
"От тебя у меня желудочковая экстрасистола
— Это хорошо?
— От тебя у меня сердце замирает",general,pos,en
"все помнят, мм ?",general,neutral,en
Сложные отношения Димы с якорями,general,neutral,en
"Самый страшный враг – сомнение. Из-за него мы теряем то, что могли бы получить, но даже не попробовали.",general,neg,en
32 секунда),general,neutral,en
Роза из атласной ленты!!!,general,neutral,en
"мне кажется,что я схожу с ума :DD",general,neg,en
Нами и для нас же создан новый сайт Сарапульского электрогенераторного завода.,general,neutral,en
"Охуенно выступил, братишка!",general,pos,en
"У КОГО ЕСТЬ ИКС-БОКС В АРЕНДУ НА СЕГОДНЯ? Я БУДУ ПИСАТЬ ЭТО НА СТЕНЕ, ПОКА ТАКОЙ ЧЕЛОВЕК НЕ НАЙДЕТСЯ!",general,neutral,en
Шикарный букет☺️,general,pos,en
ты всего лишь отчаянная заварка,general,neg,en
я конечно не намекаю:D,general,neutral,en
Довыебывался.,general,neg,en
Анализ аватара показал следующие результаты —,general,neutral,en
"Кони. Зимой. Белый и черный. 
Нравятся.",general,pos,en
Отправлено из приложения Days,general,neutral,en
Ах... Сердце таит.... Первая выпечка младшего сыночка Иммануила он очень любит маффинсы с малиной ))),general,pos,en
"Результаты жеребьевки Лиги Чемпионов:

""Лион""-""АПОЭЛ""
""Наполи""-""Челси""
""Милан""-""Арсенал""
""Базель""-""Бавария""
""Байер 04""-""Барселона""
""ЦСКА""-""Реал Мадрид""
""Зенит""-""Бенфика""
""Марсель""-""Интер""",general,neutral,en
Не смешно!),general,neg,en
"Кирилл, хорошая же песенка?))))))))))
ахаахахах)))",general,pos,en
Дружбаны на прогулке!) @ Liepaja Ezer2,general,neutral,en
А я поняла как это),general,neutral,en
"Только в трудные моменты ты видишь , кто твой настоящий друг.",general,neutral,en
меняй аву ты дома!!!,general,neutral,en
Помогите мне победить босса Никита Хохолков!!!,general,neutral,en
Пляж после шторма,general,neutral,en
"Я не понимаю почему на всех страницах в социальных сетях есть приколы про Челябинск и его население, почему все прикалываются над нами, непонимаю!??!",general,neg,en
Наконецто я влюбилась.............,general,pos,en
"Зая, не грусти!!! Всё будет хорошо!!! Я тебя не брошу.. ))",general,pos,en
"Путевочки в Доминикану пожалуйста, от Капитал тура. Недорого))))))",general,neutral,en
у и когда будем фотосет устраивать?)),general,neutral,en
ПРОДОЛЖАЕТСЯ ЗАПИСЬ НА ФОТОСЕССИИ!,general,neutral,en
"ну, вот он-приказ...",general,neutral,en
Привет!!!Как вы там ребята? Пишете еще песни?Жду не дождусь ваших новых проектов!Они просто шедеврально офигительны!МЫ ХОТИМ ЕЩЕ !:),general,pos,en
"вот об этом я говорила, они тут дали жару))",general,pos,en
"акция, найди своих подруг по ссылке ниже:",general,neutral,en
а есть такая?,general,neutral,en
"Когда сбываются самые заветные мечты,следует ожидать,что рано или поздно судьба предьявит тебе счет...",general,neg,en
"кто активно пользуется скайпом, можно получить бесплатный премиум аккаунт стоимостью 72 евро

тут заказать ваучер: 

тут ввести код, авторизовавшись: 

Обязательно проверьте не включена ли услуга автопродления премиума, и отключите ее:",general,neutral,en
чего интересного почитать? =),general,neutral,en
Тэд примеряет пуховики^_^ ... Продавец-консультант заёбана)),general,pos,en
вспомним старые времена сестрёнка?,general,neutral,en
Сказать Спасибо! отправителю:,general,neutral,en
Я бахти не слушаю!! Слова правдивые и зачепающие!),general,pos,en
Дедушки-пенсионеры),general,neutral,en
точно для меня,general,neutral,en
Выздровлю повторим натюрморт!!!!)))),general,pos,en
"я сдам чертову античку
сдам
сдам
сдаааааам",general,neg,en
"Давайте направлять в тех.поддержку Вконтакте жалобы на экстремистов и различные группы типа правого сектора. 
Я только что отправил:
Вот ссылка на призыв к войне против России из группы ""правый сектор"":

Почему вы их не блокируете? Почему позволяете использовать российский ресурс против своей же страны? Вы что фейсбук?",general,neg,en
Котэ - человек. Триллер,general,neutral,en
"Лучше сделать и пожалеть, чем не сделать и жалеть всю жизнь!",general,neutral,en
"лето кончается, мечты не сбываются, работа начинается.",general,neg,en
"Космический корабль ""Пегас"", гао ""Космофлот"", порт приписки -Москва, XXI век... корабль Алексея Зеленого.",general,neutral,en
"Гулять, собиралась 💋",general,neutral,en
"Мы снова постригли шкварку. Я в особом восторге от нашего усатого профиля. В глазах, конечно, печаль-тоска...",general,pos,en
Я - САМАЯ КРАСИВАЯ ВЫПУСКНИЦА 2014 ГОДА!!!!!,general,pos,en
#3...осенняя...с угрюмым птицем :),general,neutral,en
Кто из вас не мечтал о розовом холодильнике?!?! Ой! Только не надо ля ля!,general,neutral,en
ты мне ее уже присылал)))),general,neutral,en
интересно стало:D,general,pos,en
Хоть убейте не могу выкупить о чем она пищит?!,general,neg,en
"Умер специально, честно) надоело уже",general,neg,en
"Зайди в википедию, ознака и осока одинаково падает ударение на 2 слог) дыбилы! в группе щас идут выяснения насчет этого)",general,neg,en
"Как-то легче дышится, когда точно знаешь, что в мире есть другие такие же придурки. Моей крыше приятно съезжать в сопровождении чужих крыш, выбравших примерно то же направление движения.",general,pos,en
"Когда скандинавы на своих драккарах плыли в чужие земли грабить и насиловать, они были убеждены, что их боги остались дома, а в чужих землях живут чужие боги. Им и поклонялись в меру своих сил. 
Я никогда не жил в Томске. Но сегодня я отмечаю День томича. Его здесь празднуют в первый раз. 
На улице под дождем несколько тысяч человек, следом за песней ""Хорошо быть томичом, ведь тебе все нипочем"" звучит ""Moscow calling"", и они пользуются одинаковым успехом. Люди радостные и приятные. А я вообще не часто так говорю о людях. Почти никогда не говорю. Видимо, зов земли. 
А еще, и я не устану об этом рассказывать, здесь в центре города есть джаз-бар. И каждую пятницу-субботу тут играют, не поверите, джаз. И каждый раз какие-то новые люди.",general,pos,en
Написать сообщение..,general,neutral,en
хорошая альтернатива микроволновки),general,pos,en
Банально конечно...))),general,neutral,en
Что почитать?,general,neutral,en
Всю стену засрали.. :D,general,neg,en
А помните как раньше было?мы были все просто друзьями..гуляли..спокойно..а потом все начали влюблятся в друг друга..это тоже было хорошее время...но потом.мы причиняли друг другу боль..кто то расстался с одним или с одной и ушел к другой или другому....щас бы то время...сейчас очень много ссор...из за этой любви делали ошибки все...,general,neg,en
"сегодня весь день на работе все долдонят о том, что 5го июля мы работаем в бикини) ахахах. и до работы тема флешмобов добралась)",general,pos,en
"Не нема, а нету!",general,neutral,en
"Цитата из «Никогда не ешьте в одиночку и другие правила нетворкинга» (Тал Рэз, Кейт Феррацци)",general,neutral,en
"Тот, кто борется за свою мечту, сильнее других страдает…",general,neg,en
"Опять улетаю сегодня в ночь, до 30 не будет в России....
3 за полгода....Неплохо так))
Пожелайте мне удачи!!!",general,pos,en
как молоды мы были :D что я нашла)))) сразу лета захотелось)))),general,pos,en
Самое лучшее поздравление!!!! 🎊 💙,general,pos,en
Новый год без снега))),general,neutral,en
"помошник давай рекламируй групу!!!!!))))) 
 vkontakte.ru/club26830952",general,neutral,en
"""Нет единственных!..люби того,кто рядом!""    — Я люблю тебя.  — Ты не умеешь любить! Для тебя любить — это страдать…  Не спать ночами, кругами ходить. Тогда ты чувствуешь, что живешь. А это не любовь.",general,neg,en
Я просто оставлю это здесь.,general,neutral,en
девачька:),general,neutral,en
"Ты для меня больше, чем человек. 
Больше, чем любимый.
Ты самый родной. 
♥ 💋 💋 💋 😍 😘 👫",general,pos,en
Первый раз рисую подобное=)  Замок,general,neutral,en
"Серик, а чиво ты к нам в спортзал не ходишь?",general,neutral,en
"Вы что, сговорились?! Обычный сука кролик!",general,neg,en
куплю 1 нефть,general,neutral,en
просто нет слов...,general,neg,en
У вас есть ощущение приходящего праздника?Настроение новогоднее?),general,neutral,en
"Новый рекорд 210 кг в приседе! Грязновато, ибо 4 подход, за предыдущие  неснятые, спасибо оператору (предыдущий чисто был). Прикидка 180 кг перед основными подходами)",general,pos,en
14 группа!!))) Айда в среду на всю ночь в мафию на Печерске =)) Не будьте занудами) мы заслужили это!!,general,pos,en
"Родной мой.........я никогда тебя не забуду, не на минутку ...ты  был самым самым хорошим человеком ((самый добрый, жизнерадостный, искренний, любимый....
Всегда будешь в моем сердце....
Вечная память...",general,neg,en
За какой клуб ты болеешь?,general,neutral,en
и откуда только берутся эти странные люди со своими странными вопросами?!!!,general,neg,en
"Сколько стажа не прошло, формой недоволен будешь ты. Иода(с)",general,neutral,en
Чваша? Или не чваша?,general,neutral,en
"Губер, Эдуард Иванович —  ...  Главный труд Г. — это перевод первой части ""Фауста"", сделанный дважды: в первый раз переводчик уничтожил свой труд от огорчения, что он не был пропущен цензурой; затем, благодаря ободрению и руководству Пушкина, он исполнил его вторично; великий поэт местами редактировал перевод
(Брокгауз)

о_О и что теперь - вводить текст в собрание сочинений Пушкина? С пометой - руку приложил, но где - неясно.",general,neg,en
Кому? Кому пёсиков?!,general,neutral,en
"НАДЕЮСЬ ТЫ ПОПАЛ В ЭТУ ДЕВЯТКУ
P.S.ЕСЛИ ЭТО ПРАВДА",general,pos,en
Теперь я тоже инстаграмская утка #инфоконференция,general,neutral,en
"Твою стену охраняет Роман.
Лайк и он тебя не тронет!!!",general,neutral,en
Ураааа защитились 😘😍❤️,general,pos,en
"мала, сбылась мечта идиота) [id8877221|Татьяна Немченко]",general,pos,en
Так уже лучше))))),general,pos,en
Может побриться? Или похуй...,general,neutral,en
как тебе?),general,neutral,en
"А откуда известно, что сооружения были немецкими, а затем модернизированы поляками? Честно говоря, хорошо представляя как выглядели немецкие сооружения времен Первой Мировой, и представляя объем выполненых работ, я не понимаю зачем это было делать? По-моему проще было новое сооружение построить, нет?",general,neg,en
Любимые))*,general,pos,en
Ёлочку хочу.....много веселья и шишек золотых)),general,pos,en
Написать сообщение...,general,neutral,en
Окрошка на сейшелах,general,neutral,en
слыхали че коллеги замутили?),general,neutral,en
Дима умер в январе,general,neg,en
"Как же много людей мне видимо завидуют... чем больше вы меня ненавидите и пытаетесь унизить чирб выглядеть круче среди своего ущербного круга общения, тем больше вы делаете меня ""круче"" и ""популярнее"". поймите же это, не школьники ведь давно уже) было бы бля чему зауидывать не пойму. вы сами мне создали популярность из серой мыши, когда я сидел и никто меня даже не замечал. теперь бля разве что псина какая из другого конца страны не слышала на устах мою фамилию. заебали с черным пиаром, злые завистники. я простой парень как и все простые ""серые"" ботаны за соседними партами. не раздувайте) 
Вы сами все сделали.",general,neg,en
я такая грустная...сделайте мне коктейль!,general,neg,en
ждем тебя дома)))),general,pos,en
заново:ДОРОГИЕ МОИ МОСКАЛИКИ!!! НИКТО В ПИТЕР В БЛИЖАЙШЕЕ ВРЕМЯ НЕ СОБИРАЕТСЯ?,general,neutral,en
"Лучше в самую позднюю позднь,чем никогда!",general,neutral,en
"Рубрика «Неужели?»

С 29 июня по 01 июля под Днепропетровском будет проходить фестиваль The Best City. Официально подтверждено, что хедлайнером первого дня будут Evanescence.

И вот, появились слухи, что в последующие дни выступят The Prodigy (!) и Limp Bizkit (!!).

С 1 апреля до 1 мая билет на один день фестиваля стоит 390 гривен.",general,neutral,en
"ахах:D Тупость неимоверная/// 

но от нечего делать слцшать можно .хд",general,neg,en
Это пёс по кличке Порш,general,neutral,en
люблю тебя,general,pos,en
"Это из одного фильма, который я безумно люблю",general,pos,en
"лови дозу, малыш =)",general,neutral,en
а как те эта?)))),general,neutral,en
клево))) самое лучшее свидание!),general,pos,en
"Друзья СПб, может быть кому-нибудь нужен письменный стол с надостольем, стеллаж и шкаф с дверькам и полками (бельевой/книжный) недорого?",general,neutral,en
"Те, кто 
жалуется, что после пролитого кофе у них клавиатура ""залипает"", 
видимо никогда не проливали на неё сгущённое молоко...",general,neg,en
"Нет в этом мире радости сильней,
Чем лицезренье близких и друзей,
И нет на свете мучительнее муки,
Чем быть с друзьями славными в разлуке!

Родные мои,как же я по вам скучаю!!",general,neg,en
Зачем нужно высшее образование? / GTD / Хабрахабр,general,neutral,en
Как бы хэппи энд :),general,pos,en
Очень люблю свою девочку!скучаю...,general,pos,en
Эти три браслета уезжают у нас к трем победительницам.,general,neutral,en
"Уважаемые Знатоки!Вопрос прислал,Шириязданов Айнур,из Города Стерлитамак,Республика Башкортостан. P.S.Читаем Голосуем,ставим лайки подписываемся на мою страницу)",general,neutral,en
"мойте руки, ребята))))",general,neutral,en
А вы быстро скорешились друг с другом. Прям как в анекдоте: свояк свояка видит издалека!,general,neutral,en
"Осень медленно приближается, готовьте тёплые вещи и горячий чай....",general,neutral,en
"Ярик,помоги.",general,neutral,en
Немного о себе,general,neutral,en
"Подскажите, если кто знает, подходящее кино для изучения английского? #english",general,neutral,en
Проверка на вшивость,general,neutral,en
я думаю ты всё поймёшь)),general,neutral,en
"ага, под тебя кошу)",general,neutral,en
Почему то эта😂,general,neutral,en
24- го возвращаюсь,general,neutral,en
"'Я перезвоню', 'мы ещё встретимся', 'всё наладится' - самое жизненное наебалово.",general,neg,en
"срочно продам елку. цена договорная, торг уместен. самовынос.",general,neutral,en
Валерий Леонтьев!,general,neutral,en
"Нет ничего утомительнее,чем вести светские беседы с человеком,которого хочется тихо и нежно изнасиловать.",general,neg,en
"Утиное селфи в тп 0,4 кВ",general,neutral,en
"Жека, один из МиниТестов показал следующий результат, смотри ниже. Много других тестов здесь - vk.com/minitest",general,neutral,en
Первое полуселфи за 7 лет),general,neutral,en
"ты видела?
так классно",general,pos,en
"Сегодня мне довелось посмотреть самую необычную театральную постановку из тех, которые я видел. В неотапливаемом помещении заброшенной церкви развернулось действие, призванное рассказать о нелегком пути осознания всех бед и трудностей мира взрослых глазами ребенка через призму его национальных особенностей.. А может это просто был перформанс, который сейчас постепенно заменяет театр в его традиционном понимании.",general,neutral,en
Оказывается все мои устройства сделаны тайваньской фирмой Hon Hai Precision Industry Co. руками этих девочек. И половина ваших наверняка тоже.,general,neutral,en
"-НАЙДИ КОТА !
-нашел?
-жми рассказать друзьям,пускай тоже исчут )",general,neutral,en
воть надеюсь понравится)))))))),general,pos,en
ааааааа ты с филиппом))))))))))))))))круто))),general,pos,en
Осень пора щуки,general,neutral,en
почти Гавайи,general,neutral,en
"я вас люблю как булку с маслом,вы мне дороже трех конфет!!!но как увижу Вашу рожу, простите тянет в туалет!!!!! (ПРИЗНАНИЕ)))))))))))",general,neg,en
"Жизнь не для того, чтобы ждать, пока стихнет ливень. Она для того, чтобы учиться танцевать под дождем☔️💃",general,neutral,en
Я сделала это!Была на глубине 27метров красного моря!,general,pos,en
Ты мне очень нужен!!  ЛЮБЛЮ  ТЕБЯ!!!!,general,pos,en
"И лишь со временем узнаёшь кто был настоящим другом,а кто так.....Слов нет",general,neg,en
"- Вы уже женаты 29 лет. Какой секрет удачного брака ?
- Я стараюсь не выпускать свою жену с кухни. Если у твоего соседа трава зеленее - это значит, что ты не поливаешь свою траву. Я непрерывно говорю Лизе: ""Твой борщ великолепен. Он желание моего желудка. Ты превосходно ебашишь борщи"". Для чего я это делаю ? Во-первых, это помогает ей готовить больше борща. Во-вторых, это помогает моему желудку быть всегда влюблённым в её борщ. Сила и жизнь во власти живота. Лизе сейчас 51 год. Недавно она была в Киеве и один повар научил её готовить котлеты по-киевски. Она сказала ему, что уж теперь-то она точно никогда не выберется с кухни. 
Запомните, женщина является отражением любви своего мужа к борщу. 
Джон Бивер.",general,neutral,en
"В моём доме отключили свет в аккурат перед началом матча и включили на награждении... За что?!;-( 4:0, а я этого не увидел...",general,neg,en
Дары природы!),general,neutral,en
"сегодня я сдавал устную часть экзамена по французскому. странно так. вроде собой недоволен, а настроение хорошее :)",general,pos,en
"Куда бы поехать сегодня?
Покатаемся на велосипедах?",general,neutral,en
афиша театра в екб. я начинаю задрачиваться по теме монеток,general,neutral,en
Отпустишь прошлое - получишь будущее.,general,neutral,en
такого же хочешь?,general,neutral,en
"Вместо того, чтобы стирать слезы с лица, сотрите из жизни людей, которые заставили вас плакать.",general,neg,en
"С наскоку проблему решить можно . Очень просто. 

1.Отказаться от Боингов и Арбузов в пользу бразильских Эмбаеров.
2.Финансовые вопросы с лизингом решать в рамках созданного банка БРИКС . Понимаю ,что функции другие , но механизмы уже появились.

Т.е. политически можно вопрос в свою пользу отыграть мгновенно. Была бы воля.

Что делать в среднесрочной перспективе ? А ответ однозначный - свой самолет . на 100 % российский, либо с какой-то долей некритичного экспорта от ближайших союзников.",general,neutral,en
"Жизнь слишком коротка, чтобы тратить ее на диеты, жадных мужчин и плохое настроение.",general,neutral,en
"смотри и наслаждайся)))) классные картинки, правда?))))",general,pos,en
Отправь ответ &gt;&gt;&gt;&gt;,general,neutral,en
"Gods Of Kitchen on USTREAM: Кулинарное реалити шоу ""Боги кухни"" без купюр, без монтажа, без дураков Самое реалистичное шоу про приготовление еды. Расширяем...",general,neutral,en
Это мой друг ярик,general,neutral,en
вперед Голландия!!! =),general,pos,en
"Товар на миллион

Сидим на работе. Тянусь за чайником - чайник горячий. 

Спрашиваю коллегу:
- А че грел-то?
- Я в кофеварку заливаю воду после чайника, чтоб накипи меньше было.

И тут я догоняю!

Воду продают во всех видах, каких только нельзя было придумать. Обычную, минеральную, с газом, с лимоном, дистиллированную...

Но никто, блеать, не продает кипяченую воду!

Вскрипятил, остудил, разлил по бутылочкам!
Вскрипятил, остудил, разлил по бутылочкам!

P.S. А что, а вдруг?",general,neutral,en
"Подарок ко Дню всех влюблённых! Фигурки весёлые сердечки)
 25 грн - одна фигурка",general,neutral,en
Послушай)))Зацени))),general,neutral,en
Пардон. У меня тяжёлое ощущение в голове непонятно с чего,general,neg,en
"Да, это золото, и ты будешь до конца дней своих чахнуть над ним как Кощей Бессмертный...",general,neg,en
Не про политику. Просто фотка чудесная)),general,pos,en
потихоньку выкладываю снимки с острова самуи. тайланд.,general,neutral,en
"Друзья, нужна одна диссертация. Кто-нибудь сможет помочь и скачать из Ленинки?",general,neutral,en
Для нас он - просто ДОМ ...,general,neutral,en
Как мы смотрим новости),general,neutral,en
У тебя нету случайно 2-го трэка из этого видео ???,general,neutral,en
"Хочешь узнать, что я думаю о тебе? Смотри тут: 
 ♥♥♥  ♥♥♥",general,neutral,en
Я очень жду от тебя Мандарины. Давай играть в Ёлочку вместе!,general,neutral,en
а мне такой)))для массы)),general,neutral,en
Похожи-не?,general,neutral,en
Серый а хули мой домашний телефон у тебя записан на странице?,general,neg,en
"Какой ты хочеш подарок от меня на Новый год?
1. медляк и фото.
2. бутылку колы.
3. поцелуй.
4. предложение встречаться.
5. погулять.
6. поговорить по телефону.
7. положить на счет 250 рублей
8. сходить в кафе.
9. подарок от всей души
10. сходить в кино.
11. незабываемые выходные.
12. поставить со мной аву.
13. скитлс
14. поставить статус какой я захочу.
15. семейное положение на 5 дней.
17. пригласить на чай
18 . написать на стене я люблю
тебя
19 . сделать за меня д/з. 20. КИНДЕР
21. шоколадку. 22. подарить мне
серьги или браслет. 23. исполнить
то что ты хочеш!",general,neutral,en
"Добрый день!!!  

В канун юбилея Орлёнка в группе ВДЦ ""Орлёнок"",д/л ""Комсомольский"", в.о. ""Родник"" будет создаваться фотоальбом, про всех участников. Альбом будет назваться ""Яркие потоки Родника"", будем туда вставлять фото всех участников группы и не только, всех кто работал в д/л «Комсомольский».
В связи с этим прошу выслать красивую фотографию в вожатской форме и современную фотографию в деловой одежде. 
Желательно написать, где Вы сейчас  и кем работаете.

Снимки всех участников группы выложим в альбом ""Яркие потоки Родника"", чтобы было видно…  какие ЯРКИЕ потоки у Родника!!!

С уважением,
Джанита  Близнюкова, 
делопроизводитель д/л «Комсомольский».",general,neutral,en
"И снова, у кого лучше получилось?",general,neutral,en
"На сигаретах пишут ""вызывает
рак лёгких"" ,на спиртном
""вредит здоровью"".Почему на
девушках не пишут ""пи*здeц
нервной системе""?!",general,neg,en
"Мне повезло, что ты есть у меня 👭",general,pos,en
"От карих глаза сходят с ума, это
факт...♥",general,pos,en
"Все плохо стало с бичами, пока тебя не было!
Бичи весь день играли в доту. Самое хорошее что было в августе - это ТИ3.
Наведешь порядок по приезду?",general,neg,en
"Стася, УРРРРАААААА!!!!!!!!",general,pos,en
"Гриша,если ты хотел меня унизить,обидеть,расстроить,то -спасибо огромное,у тебя это получилось!!!!!",general,neg,en
Активно оперативная подготовка к #мумийтролль в #stadiumlive @ Stadium Live,general,neutral,en
"Самое трудное — сохранить истинную простоту.

Мартин Скорсезе",general,neutral,en
в спортзале,general,neutral,en
"Слепая и бестолковая из-за того, что люблю тебя...
💭💭💭💬",general,neg,en
"Кто знает, когда ДЕНЬ ГОРОДА 2013 ?",general,neutral,en
Я люблю Андрея))** лю* лю*лю* ахаххаха),general,pos,en
"Знает,о чем читает.",general,neutral,en
Что означают призывы жить по средствам? : Деньги : Бизнес и карьера : Subscribe.Ru,general,neutral,en
заболела...(,general,neg,en
"ого какой мен)))Васюня,ты как обычно в отличной форме!)",general,pos,en
"Народ, помогите сделать дз по обществу)",general,neutral,en
"Мы просим себе долгой жизни, а между тем значение имеют только глубина жизни и ее высокие мгновения. 

Будем же измерять время мерой духовной!

""Жизнь и Смерть"",  Эмерсон У.",general,neutral,en
"Друзья! Приезжайте на зимний спринт ""Морозко 2015"". В программе гусеницы :)",general,neutral,en
Осталось всего 8 лет и наша сбродная наконец сыграет на чемпионате мира,general,neg,en
купил штаны и обувь,general,neutral,en
"ШАХИРА - школа восточного танца
Фотографии с Дня Рождения в Фа-Соль в альбомах
 vk.com/album-8922982_163614821
 vk.com/album-8922982_163614930",general,neutral,en
ФотоФания - это круто!,general,pos,en
"гламур, чо)",general,neutral,en
С места событий...,general,neutral,en
Вон оно че!!!,general,neutral,en
"Воплощение в кино одной из основополагающих метафор левого дискурса. Вопрос встает о том, чья версия в  экранизации возьмет верх: Маркса или Беньямина?",general,neutral,en
для мужчин(снизу лыжа),general,neutral,en
И я тебя люблю милый мой **ты очень находчив **,general,pos,en
Как сделать шнур.,general,neutral,en
"Поскольку мы часто полагаемся на соб­ственную проницательность, мы легко ста­новимся корыстолюбивыми, не прислуши­ваемся к голосу разума, и тогда события принимают далеко не лучший оборот. Люди видят, насколько ограничены и недостойны наши устремления.

Поэтому, если в рассуждениях тебе труд­но быть беспристрастным, следует обратиться за советом к более опытному чело­веку. Этот человек следует Пути в той мере, в которой он способен давать простые и искренние советы, не руководствуясь при этом личными интересами. Его суждения будут казаться окружающим совсем не беспочвенными. Разум такого человека можно уподобить дереву со многими корнями. И в то же время мы часто встречаем людей, умственные способности которых напомина­ют воткнутую в землю палку.",general,neutral,en
